n_rooms,sq_mt_built,buy_price/barrio,District_no,is_renewal_needed,has_parking,type
2,72.0,4098,1,False,True,1
4,289.0,3417,2,False,True,2
4,175.0,3417,2,False,True,1
2,96.0,3417,2,False,True,1
2,78.0,3100,2,False,True,4
2,99.0,3417,2,False,True,1
2,88.0,3417,2,False,True,1
3,89.0,3113,2,False,False,1
5,267.0,3417,2,False,True,2
2,74.0,3100,2,False,True,1
4,276.0,2879,2,False,True,2
5,289.0,3113,2,False,True,2
3,59.0,3100,2,False,False,1
3,134.0,3113,2,False,True,1
3,100.0,3113,2,False,False,1
3,116.0,3113,2,False,True,1
1,41.0,2879,2,False,False,1
2,102.0,3113,2,False,False,1
2,69.0,3100,2,False,False,1
2,74.0,2879,2,False,True,1
6,362.0,2879,2,False,False,2
5,334.0,3417,2,False,True,2
4,161.0,3113,2,False,True,1
4,182.0,3417,2,False,True,1
2,116.0,3113,2,False,True,1
4,122.0,3113,2,False,False,1
3,117.0,2879,2,False,True,1
3,134.0,3113,2,False,True,1
5,290.0,3113,2,False,True,2
3,213.0,3417,2,False,True,4
5,286.0,3113,2,False,True,2
4,228.0,4486,1,False,True,1
2,58.0,4208,1,True,False,1
2,68.0,3783,1,False,False,1
2,83.0,3972,1,False,False,1
4,155.0,4208,1,False,False,1
2,113.0,4486,1,False,True,1
3,77.0,4098,1,True,False,1
2,56.0,4098,1,False,False,1
2,78.0,3783,1,False,False,1
2,104.0,4486,1,False,False,1
4,115.0,3975,1,False,False,1
4,104.0,3972,1,True,True,1
3,70.0,3975,1,False,False,1
2,95.0,4208,1,False,False,1
3,80.0,4098,1,False,False,1
4,101.0,4098,1,False,True,1
2,111.0,3972,1,False,True,1
3,135.0,3975,1,False,False,1
4,101.0,4098,1,False,True,1
3,116.0,3975,1,False,False,1
4,139.0,4486,1,False,True,1
4,130.0,3783,1,False,False,1
2,57.0,3972,1,False,False,1
4,155.0,4208,1,False,True,1
3,147.0,3975,1,False,False,1
1,34.0,4098,1,False,False,1
3,151.0,3972,1,False,True,1
4,145.0,3975,1,True,True,1
3,80.0,3972,1,True,False,1
4,230.0,5000,4,False,False,1
4,395.0,6255,5,True,True,2
4,153.0,4255,5,True,True,1
2,90.0,4255,5,False,False,1
2,432.0,6255,5,False,True,2
4,220.0,6255,5,False,True,1
4,351.0,5363,5,False,True,2
6,292.0,4572,5,False,False,2
5,469.0,6255,5,False,True,2
2,90.0,5170,5,False,False,1
4,250.0,6255,5,False,False,1
5,399.0,6255,5,False,True,1
3,93.0,4255,5,False,False,1
6,432.0,6255,5,True,True,1
4,187.0,4255,5,False,True,1
4,205.0,6255,5,False,True,1
5,399.0,6255,5,False,True,1
5,379.0,5363,5,True,True,1
4,351.0,5363,5,False,True,2
5,327.0,6255,5,False,False,2
3,247.0,5363,5,False,True,3
4,256.0,5363,5,True,True,1
6,450.0,6255,5,False,False,2
4,220.0,6255,5,False,True,1
6,515.0,6255,5,False,False,1
3,99.0,4255,5,False,False,1
9,601.0,6255,5,True,True,2
5,400.0,6255,5,False,False,1
6,474.0,5363,5,False,True,2
4,256.0,5363,5,False,True,1
5,300.0,4255,5,True,True,1
3,126.0,4693,4,False,False,1
1,50.0,4693,4,False,True,1
5,260.0,5196,4,True,False,1
2,158.0,6029,4,False,False,1
4,178.0,5196,4,True,True,1
4,360.0,4693,4,False,True,4
3,396.0,6029,4,False,False,1
4,317.0,5196,4,False,False,1
4,169.0,6029,4,True,False,1
2,123.0,6029,4,False,False,1
1,85.0,6029,4,False,True,1
3,91.0,5196,4,False,False,1
4,287.0,5000,4,False,False,1
3,117.0,5196,4,False,False,1
3,396.0,6029,4,False,False,1
3,81.0,5000,4,False,False,1
3,135.0,6029,4,False,False,1
2,50.0,5000,4,False,False,1
2,234.0,6029,4,False,False,1
1,78.0,5390,4,False,False,1
1,45.0,6029,4,False,False,1
1,93.0,5000,4,False,False,1
1,51.0,4693,4,False,False,1
1,55.0,5196,4,False,False,1
3,110.0,5196,4,False,False,1
1,44.0,6029,4,False,False,1
3,119.0,5196,4,False,False,1
3,96.0,4693,4,False,False,1
3,162.0,4693,4,False,True,1
2,60.0,5000,6,False,False,1
2,55.0,2686,7,False,False,1
2,50.0,2578,7,False,False,1
2,60.0,2686,7,False,False,1
2,56.0,2578,7,False,False,1
2,55.0,2578,7,False,False,1
3,80.0,2686,7,False,False,1
4,296.0,4098,7,True,True,2
5,500.0,4098,7,False,True,3
5,231.0,4015,7,False,True,1
2,65.0,2578,7,False,False,1
2,50.0,2686,7,False,False,1
3,123.0,4235,7,False,True,1
5,300.0,3652,7,False,True,4
2,55.0,2578,7,False,False,1
5,427.0,3652,7,True,True,4
3,173.0,4235,7,True,True,1
5,275.0,4235,7,False,True,1
1,78.0,4098,7,False,True,1
4,156.0,4235,7,False,True,1
2,55.0,2686,7,False,False,1
4,226.0,4015,7,False,True,2
3,80.0,2578,7,False,False,1
5,237.0,4098,7,False,True,1
6,350.0,4677,7,False,True,1
5,381.0,3652,7,False,True,1
4,250.0,3341,7,False,True,2
6,280.0,4677,7,False,True,1
4,200.0,4015,7,False,True,2
2,81.0,2686,7,False,False,1
3,79.0,2686,7,False,True,1
2,121.0,4548,6,False,False,1
4,240.0,6564,6,False,True,3
5,262.0,6564,6,False,False,1
3,260.0,6564,6,False,True,1
3,200.0,5640,6,True,False,1
4,335.0,6564,6,False,True,3
2,67.0,5640,6,False,False,1
6,400.0,6564,6,False,True,1
3,139.0,4548,6,False,False,1
3,189.0,4869,6,False,False,1
3,142.0,5000,6,False,False,1
3,130.0,5640,6,False,False,1
3,239.0,6564,6,False,True,1
3,335.0,6564,6,False,True,3
3,193.0,6564,6,False,False,1
4,343.0,6564,6,False,True,1
4,250.0,6564,6,False,False,1
4,167.0,6564,6,True,False,1
1,63.0,6564,6,False,False,1
5,540.0,6564,6,True,False,1
6,650.0,6564,6,False,False,4
6,485.0,6564,6,True,True,1
4,340.0,6564,6,True,True,1
4,138.0,5000,6,True,False,1
3,148.0,5640,6,False,False,1
4,169.0,4869,6,False,False,1
4,293.0,6564,6,False,True,1
2,114.0,6564,6,False,False,1
3,86.0,5000,6,True,False,1
6,470.0,3695,8,False,True,2
3,179.0,4275,9,False,True,3
5,400.0,4275,9,False,True,2
7,447.0,4275,9,True,True,2
4,624.0,4275,9,False,True,2
4,420.0,4275,9,True,True,2
10,654.0,4275,9,False,True,2
5,740.0,4275,9,False,True,2
6,998.0,4275,9,True,True,2
5,391.0,4275,9,False,False,2
6,590.0,4275,9,True,True,2
6,419.0,4275,9,False,True,2
5,411.0,4275,9,False,True,2
3,160.0,3152,9,True,True,3
5,254.0,4275,9,False,False,1
6,540.0,4275,9,True,True,2
5,415.0,3773,9,False,True,2
5,368.0,4275,9,False,True,2
6,590.0,4275,9,False,True,2
5,366.0,4275,9,False,True,2
5,445.0,4275,9,True,False,2
5,429.0,4275,9,False,True,2
5,400.0,4275,9,False,True,2
5,366.0,4275,9,False,True,2
4,370.0,4275,9,False,True,2
6,423.0,4275,9,False,True,2
7,447.0,4275,9,False,True,2
3,96.0,3152,9,False,False,1
5,677.0,4275,9,False,True,1
5,724.0,4275,9,True,True,2
4,250.0,2648,8,False,False,2
6,398.0,3271,8,False,True,2
5,371.0,3271,8,False,True,2
7,274.0,3695,8,False,True,2
4,271.0,3371,8,False,True,2
5,254.0,3695,8,True,True,2
4,183.0,3500,8,True,True,1
7,409.0,3271,8,False,True,2
7,700.0,3695,8,False,True,2
4,153.0,3500,8,False,False,1
6,657.0,3695,8,False,True,2
8,653.0,3695,8,False,True,2
5,242.0,3695,8,False,False,2
3,115.0,4256,8,False,True,4
2,105.0,3271,8,False,True,1
6,513.0,3271,8,False,True,2
5,587.0,3695,8,True,True,2
5,371.0,3271,8,False,True,2
3,143.0,4610,8,False,True,1
4,383.0,3695,8,False,True,2
3,117.0,4256,8,False,True,1
5,467.0,3695,8,False,True,2
5,467.0,3695,8,False,True,2
6,700.0,3695,8,False,True,2
2,117.0,4256,8,False,True,4
5,380.0,3695,8,False,True,2
6,467.0,3695,8,False,True,2
5,680.0,3695,8,False,True,2
4,220.0,2648,8,False,True,2
6,146.0,2363,10,True,False,1
5,258.0,4249,11,False,True,4
5,450.0,3810,11,False,True,2
8,844.0,2569,11,False,True,2
6,308.0,3600,11,False,True,2
5,256.0,3810,11,False,True,2
5,303.0,4249,11,False,True,3
3,205.0,4807,11,False,False,1
6,410.0,3600,11,False,True,2
4,300.0,3600,11,False,False,2
5,280.0,3600,11,False,True,4
4,420.0,4249,11,False,True,2
4,195.0,4249,11,False,True,1
4,240.0,4249,11,False,True,4
4,420.0,3600,11,False,True,2
8,700.0,4249,11,False,True,2
3,150.0,4249,11,False,True,1
6,722.0,3810,11,False,True,2
5,500.0,3600,11,False,True,2
6,623.0,3810,11,False,True,2
6,350.0,3600,11,False,True,2
5,722.0,3810,11,False,True,2
6,722.0,3810,11,False,False,2
6,475.0,3600,11,False,True,2
6,207.0,3600,11,False,True,1
5,220.0,3600,11,False,True,1
3,222.0,3600,11,False,True,1
7,800.0,4249,11,False,True,2
5,246.0,3600,11,False,True,2
3,90.0,2443,10,False,False,1
2,120.0,2110,10,True,False,1
3,99.0,2190,10,True,False,1
2,54.0,2363,10,False,False,1
2,58.0,2443,10,False,False,1
3,144.0,2275,10,False,True,1
3,78.0,2458,10,True,False,1
3,114.0,2190,10,True,True,1
2,58.0,2363,10,False,False,1
3,63.0,2363,10,True,False,1
3,76.0,2443,10,False,False,1
6,596.0,2443,10,False,False,2
1,70.0,2190,10,False,False,1
3,79.0,2190,10,False,False,1
3,69.0,2443,10,False,False,1
2,48.0,2110,10,False,False,1
3,60.0,2443,10,False,False,1
3,117.0,2363,10,False,True,1
3,75.0,2190,10,False,False,1
3,90.0,2458,10,False,True,1
2,41.0,2443,10,False,False,1
3,71.0,2443,10,True,False,1
1,82.0,2443,10,False,True,4
2,60.0,2363,10,False,False,1
4,105.0,2110,10,False,False,1
2,53.0,2190,10,False,False,1
2,71.0,2458,10,False,False,1
2,80.0,2443,10,False,False,1
4,153.0,2190,10,True,True,1
2,83.0,2538,12,False,False,1
3,94.0,1574,13,False,False,1
3,136.0,2081,13,False,True,1
2,95.0,2007,13,False,False,1
3,58.0,2081,13,True,False,1
2,104.0,2007,13,False,False,1
3,122.0,2081,13,False,False,1
3,100.0,2007,13,False,True,1
3,108.0,1574,13,False,False,1
3,67.0,1983,13,False,False,1
3,108.0,2081,13,False,False,1
2,61.0,2007,13,False,False,1
3,77.0,1574,13,False,False,1
3,112.0,2076,13,False,False,1
3,166.0,2076,13,False,True,4
3,53.0,2007,13,True,False,1
1,75.0,2081,13,False,False,1
3,140.0,2081,13,False,True,3
2,50.0,1983,13,False,False,1
2,73.0,2007,13,False,False,1
2,50.0,2081,13,False,False,1
4,90.0,2081,13,False,False,1
3,80.0,2081,13,True,False,1
2,55.0,2007,13,False,False,1
1,54.0,2081,13,False,False,1
3,60.0,2081,13,False,False,1
1,37.0,2081,13,False,False,1
3,76.0,2081,13,False,False,1
3,107.0,1574,13,False,True,1
4,123.0,2007,13,True,False,1
3,105.0,2076,13,False,False,1
3,70.0,3652,12,False,False,1
